WKT,ID,Color,Bateria_Li,Res_NumPla
"MULTILINESTRING Z ((439261.6592 4474034.4438 0,439260.5686 4474008.677 0,439261.2502 4474006.3593 0,439263.4316 4474003.9053 0,439266.7036 4474003.0873 0,439295.1971 4474003.2237 0))",2315962,Naranja,Línea,13
"MULTILINESTRING Z ((439894.3223 4475590.3495 0,439878.6557 4475592.0162 0))",2316848,Verde,Línea,3
"MULTILINESTRING Z ((439941.9057 4475585.2662 0,439900.5723 4475589.7662 0))",2316855,Verde,Línea,8
"MULTILINESTRING Z ((439668.7241 4475319.0333 0,439661.0793 4475305.0004 0))",2316980,Verde,Línea,3
"MULTILINESTRING Z ((440758.0492 4472149.4067 0,440759.4159 4472159.8428 0))",2317112,Azul,Línea,2
"MULTILINESTRING Z ((440756.3853 4472135.7633 0,440754.9773 4472119.7786 0))",2317114,Azul,Línea,3
"MULTILINESTRING Z ((440751.713 4472088.9023 0,440753.8251 4472109.2775 0))",2317116,Azul,Línea,4
"MULTILINESTRING Z ((440745.5011 4472028.8948 0,440744.8799 4472023.6768 0))",2317120,Azul,Línea,1
"MULTILINESTRING Z ((440729.2195 4471877.6053 0,440727.0661 4471858.142 0))",2317130,Azul,Línea,4
"MULTILINESTRING Z ((440718.0384 4471773.9942 0,440720.1918 4471795.3625 0))",2317132,Azul,Línea,4
"MULTILINESTRING Z ((440721.4676 4471806.4182 0,440722.7419 4471821.5823 0))",2317134,Azul,Línea,5
"MULTILINESTRING Z ((440726.4035 4471851.6818 0,440725.8238 4471846.464 0))",2317136,Azul,Línea,1
"MULTILINESTRING Z ((439060.4414 4473570.5251 0,439062.0039 4473564.6472 0))",2317137,Azul,Línea,1
"MULTILINESTRING Z ((440724.5896 4471832.0952 0,440723.9524 4471826.2334 0))",2317138,Azul,Línea,1
"MULTILINESTRING Z ((440854.5197 4472085.5396 0,440856.9756 4472080.5615 0))",2317148,Azul,Línea,1
"MULTILINESTRING Z ((440839.7845 4472113.6825 0,440849.8735 4472094.3675 0))",2317150,Azul,Línea,4
"MULTILINESTRING Z ((439276.5487 4472939.0512 0,439288.4948 4472947.3027 0))",2317151,Azul,Línea,3
"MULTILINESTRING Z ((439315.0307 4472965.3495 0,439360.2807 4472997.5995 0))",2317153,Azul,Línea,10
"MULTILINESTRING Z ((440913.394 4471973.0346 0,440915.8498 4471967.8574 0))",2317156,Azul,Línea,1
"MULTILINESTRING Z ((440954.2173 4471734.0491 0,440925.8831 4471728.2683 0))",2317164,Azul,Línea,6
"MULTILINESTRING Z ((440820.8514 4471706.692 0,440861.6428 4471715.2411 0))",2317170,Azul,Línea,8
"MULTILINESTRING Z ((439317.4919 4472588.9733 0,439322.5117 4472568.6298 0))",2317183,Azul,Línea,4
"MULTILINESTRING Z ((439133.0976 4473292.4745 0,439131.5351 4473298.1665 0))",2317185,Azul,Línea,1
"MULTILINESTRING Z ((441512.9057 4471414.7245 0,441520.9057 4471395.7245 0))",2317188,Azul,Línea,4
"MULTILINESTRING Z ((438984.6811 4473311.3047 0,438983.556 4473277.7401 0,438984.6811 4473258.2389 0,438985.8062 4473241.9254 0,438987.3063 4473229.9247 0,438990.119 4473212.8611 0,438994.2442 4473194.2974 0,438999.4945 4473175.9213 0,439005.1199 4473158.6702 0,439014.8705 4473134.2937 0,439029.3089 4473105.7919 0,439037.9344 4473091.7285 0))",2317193,Azul,Línea,45
"MULTILINESTRING Z ((441439.7324 4471211.5961 0,441410.5566 4471280.7062 0))",2317208,Azul,Línea,15
"MULTILINESTRING Z ((438950.8863 4473932.2593 0,438940.297 4473932.7197 0))",2317213,Azul,Línea,2
"MULTILINESTRING Z ((438905.5825 4473933.8247 0,438922.2491 4473933.3643 0))",2317215,Azul,Línea,3
"MULTILINESTRING Z ((438885.6009 4473934.3772 0,438896.4664 4473934.1009 0))",2317217,Azul,Línea,2
"MULTILINESTRING Z ((442206.7547 4471435.7019 0,442188.5168 4471467.2676 0))",2317220,Azul,Línea,7
"MULTILINESTRING Z ((439061.3255 4473664.3052 0,439093.6751 4473748.3006 0))",2317221,Azul,Línea,18
"MULTILINESTRING Z ((442429.2575 4471476.9477 0,442424.5811 4471473.1131 0))",2317222,Azul,Línea,1
"MULTILINESTRING Z ((439061.4041 4473654.354 0,439035.525 4473589.5575 0))",2317223,Azul,Línea,14
"MULTILINESTRING Z ((442395.9616 4471453.1917 0,442389.8823 4471449.4505 0,442379.8748 4471443.5583 0,442364.5362 4471436.2631 0))",2317226,Azul,Línea,7
"MULTILINESTRING Z ((438726.9614 4473030.393 0,438728.3781 4473045.143 0))",2317235,Azul,Línea,3
"MULTILINESTRING Z ((441747.4153 4470895.1253 0,441756.961 4470883.7671 0))",2317236,Azul,Línea,3
"MULTILINESTRING Z ((441749.9528 4470912.1625 0,441782.2148 4470940.437 0))",2317238,Azul,Línea,9
"MULTILINESTRING Z ((441745.1195 4470916.8749 0,441763.1234 4470932.583 0))",2317240,Azul,Línea,5
"MULTILINESTRING Z ((439499.239 4473096.2662 0,439475.0723 4473079.0995 0))",2317245,Azul,Línea,6
"MULTILINESTRING Z ((441712.4145 4471078.5875 0,441650.6294 4471042.6603 0))",2317248,Azul,Línea,14
"MULTILINESTRING Z ((439646.5642 4473075.2289 0,439645.1196 4473085.5214 0))",2317271,Azul,Línea,2
"MULTILINESTRING Z ((439503.0771 4472782.181 0,439518.5137 4472825.3191 0))",2317273,Azul,Batería,17
"MULTILINESTRING Z ((439522.0733 4472834.4824 0,439519.8177 4472828.35 0))",2317275,Azul,Batería,2
"MULTILINESTRING Z ((441620.6831 4471275.7828 0,441630.5299 4471320.7621 0))",2317282,Azul,Línea,9
"MULTILINESTRING Z ((441613.6323 4471245.0267 0,441619.2243 4471269.0967 0))",2317284,Azul,Línea,5
"MULTILINESTRING Z ((442339.9384 4471425.6009 0,442346.7659 4471428.3132 0,442351.8164 4471430.4644 0,442358.644 4471433.5508 0))",2317286,Azul,Línea,4
"MULTILINESTRING Z ((442266.6593 4471406.8018 0,442282.2941 4471409.8259 0,442300.5008 4471414.1282 0,442315.8394 4471417.8693 0,442331.2403 4471422.7327 0))",2317288,Azul,Línea,13
"MULTILINESTRING Z ((441641.4463 4471037.0215 0,441635.4047 4471033.4771 0,441629.5242 4471029.6105 0,441624.6104 4471025.5023 0,441620.9855 4471021.7162 0,441614.8634 4471013.983 0))",2317290,Azul,Línea,7
"MULTILINESTRING Z ((441611.2384 4471009.6331 0,441598.5109 4470993.6028 0))",2317292,Azul,Línea,4
"MULTILINESTRING Z ((441492.0988 4470860.7689 0,441537.8535 4470918.0429 0))",2317294,Azul,Línea,14
"MULTILINESTRING Z ((441558.4754 4470943.6592 0,441564.2753 4470950.9896 0))",2317298,Azul,Línea,2
"MULTILINESTRING Z ((440023.9031 4472940.5847 0,440025.3244 4472933.5458 0))",2317301,Azul,Línea,1
"MULTILINESTRING Z ((440008.5732 4473013.1059 0,440023.0909 4472943.9688 0))",2317303,Azul,Línea,14
"MULTILINESTRING Z ((440216.4447 4472975.4082 0,440222.0145 4472973.995 0))",2317311,Azul,Línea,1
"MULTILINESTRING Z ((440752.701 4472316.656 0,440763.9847 4472295.0179 0))",2317312,Azul,Línea,5
"MULTILINESTRING Z ((440773.3435 4472277.2295 0,440782.3041 4472259.5739 0))",2317314,Azul,Línea,4
"MULTILINESTRING Z ((440766.7061 4472289.7743 0,440769.3611 4472284.7299 0))",2317316,Azul,Línea,1
"MULTILINESTRING Z ((439842.2108 4472685.3346 0,439830.166 4472718.3668 0))",2317317,Azul,Línea,7
"MULTILINESTRING Z ((439850.0583 4472664.8947 0,439844.4008 4472679.1296 0))",2317319,Azul,Línea,3
"MULTILINESTRING Z ((440845.36 4472137.4446 0,440838.6562 4472150.1885 0))",2317320,Azul,Batería,5
"MULTILINESTRING Z ((439865.2969 4472646.4624 0,439861.5557 4472656.3173 0))",2317323,Azul,Línea,2
"MULTILINESTRING Z ((440883.5918 4472065.0299 0,440892.4196 4472047.9052 0))",2317324,Azul,Batería,7
"MULTILINESTRING Z ((440918.8367 4471996.8631 0,440923.3502 4471988.1681 0))",2317328,Azul,Batería,4
"MULTILINESTRING Z ((440115.8223 4472714.7427 0,440114.3223 4472717.4927 0))",2317337,Azul,Batería,1
"MULTILINESTRING Z ((440905.1774 4472479.8309 0,440871.8987 4472482.0191 0))",2317340,Azul,Línea,7
"MULTILINESTRING Z ((441071.7529 4472147.227 0,441074.0322 4472172.2088 0))",2317346,Azul,Línea,5
"MULTILINESTRING Z ((440547.849 4472655.8169 0,440555.2382 4472642.335 0))",2317351,Azul,Línea,3
"MULTILINESTRING Z ((440568.239 4472621.3261 0,440558.5723 4472637.5761 0))",2317353,Azul,Línea,4
"MULTILINESTRING Z ((440576.5723 4472607.4094 0,440579.6557 4472602.1594 0))",2317355,Azul,Línea,1
"MULTILINESTRING Z ((440590.8932 4472581.5589 0,440582.4446 4472596.0473 0))",2317357,Azul,Línea,4
"MULTILINESTRING Z ((441041.3006 4471826.8404 0,441044.6741 4471863.8572 0))",2317359,Azul,Línea,7
"MULTILINESTRING Z ((440585.1557 4472410.3261 0,440606.0307 4472439.4511 0))",2317360,Azul,Línea,8
"MULTILINESTRING Z ((440549.1454 4472359.2134 0,440518.6813 4472315.6562 0))",2317364,Azul,Línea,12
"MULTILINESTRING Z ((440343.7219 4472289.0464 0,440339.7434 4472296.6243 0))",2317368,Azul,Batería,3
"MULTILINESTRING Z ((440295.0338 4472380.6444 0,440310.1896 4472352.2272 0))",2317374,Azul,Batería,12
"MULTILINESTRING Z ((440318.62 4472336.7873 0,440314.5469 4472344.1757 0))",2317376,Azul,Batería,3
"MULTILINESTRING Z ((441802.6974 4472216.793 0,441762.6719 4472182.9673 0))",2317377,Azul,Batería,17
"MULTILINESTRING Z ((440332.1655 4472311.496 0,440321.8406 4472330.5355 0))",2317378,Azul,Batería,8
"MULTILINESTRING Z ((441072.6646 4471980.925 0,441073.5763 4471991.8659 0))",2317389,Azul,Línea,2
"MULTILINESTRING Z ((440063.5348 4472440.6238 0,440041.108 4472487.8107 0))",2317390,Azul,Línea,10
"MULTILINESTRING Z ((440070.7943 4472424.938 0,440067.0349 4472433.3642 0))",2317392,Azul,Línea,2
"MULTILINESTRING Z ((441287.8819 4472079.5718 0,441273.1517 4472080.8416 0))",2317401,Azul,Línea,3
"MULTILINESTRING Z ((441496.0088 4471799.5718 0,441465.0247 4471844.3972 0))",2317405,Azul,Batería,19
"MULTILINESTRING Z ((441315.0565 4472068.0162 0,441320.7707 4472059.3813 0))",2317411,Azul,Línea,2
"MULTILINESTRING Z ((439825.3297 4472731.3242 0,439829.2535 4472721.013 0))",2317414,Azul,Línea,2
"MULTILINESTRING Z ((440521.7961 4472700.2136 0,440486.0193 4472761.4619 0))",2317416,Azul,Línea,19
"MULTILINESTRING Z ((441394.8025 4471948.0162 0,441407.2469 4471929.7305 0))",2317417,Azul,Línea,4
"MULTILINESTRING Z ((440544.0029 4472661.1939 0,440541.4842 4472665.5132 0))",2317418,Azul,Línea,1
"MULTILINESTRING Z ((441133.3411 4472387.1066 0,441162.061 4472391.3462 0,441177.3783 4472392.5771 0,441185.7208 4472391.7565 0))",2317419,Azul,Línea,10
"MULTILINESTRING Z ((441132.5205 4472391.6198 0,441158.3685 4472395.3123 0,441170.5402 4472396.6799 0,441178.7459 4472396.8167 0))",2317421,Azul,Línea,8
"MULTILINESTRING Z ((441163.9757 4472400.099 0,441170.9505 4472401.4666 0,441176.0107 4472401.7401 0,441183.3958 4472401.7401 0,441195.5676 4472399.4152 0,441198.9866 4472398.3211 0,441206.5085 4472393.6712 0))",2317423,Azul,Línea,9
"MULTILINESTRING Z ((441124.0413 4472393.2609 0,441158.642 4472399.2784 0))",2317425,Azul,Línea,7
"MULTILINESTRING Z ((439112.0889 4476536.2822 0,439105.3728 4476487.064 0))",2317426,Azul,Línea,10
"MULTILINESTRING Z ((439322.7931 4476481.8875 0,439324.7406 4476513.2528 0))",2317429,Azul,Línea,7
"MULTILINESTRING Z ((439094.0456 4476406.9718 0,439092.943 4476399.2533 0))",2317433,Azul,Línea,1
